sl,COMMON.NAME,freq,se
1,Yellow-bellied Prinia,-4.192291868,0.660145541
1,Ashy Prinia,-1.81376744,0.65468902
1,Plain Prinia,-2.641288502,0.652634879
1,Zitting Cisticola,-3.711377184,0.683838604
1,Golden-headed Cisticola,-5.895099019,0.70489142
1,Thick-billed Warbler,-5.580247572,0.688028272
1,Booted Warbler,-4.260483383,0.643718253
1,Paddyfield Warbler,-5.401971339,0.726119606
1,Blyth's Reed Warbler,-3.894734372,0.639737912
1,Clamorous Reed Warbler,-4.788422984,0.644423043
1,Striated Grassbird,-4.134624046,0.671327437
1,Scaly-breasted Cupwing,-4.825371466,0.67411946
1,Pygmy Cupwing,-4.422985273,0.663209332
1,Gray-throated Martin,-4.221721806,0.663360472
1,Bank Swallow,-5.7640521,0.669974769
1,Eurasian Crag-Martin,-4.061535761,0.696312757
1,Dusky Crag-Martin,-3.294880605,0.63836534
1,Barn Swallow,-2.884448105,0.650553718
1,Wire-tailed Swallow,-2.885487514,0.665404057
1,Red-rumped Swallow,-2.98501003,0.665989464
1,Streak-throated Swallow,-4.1695706,0.64825541
1,Nepal House-Martin,-4.470342587,0.685964862
1,Gray-headed Bulbul,-5.38110931,0.688054918
1,Black-crested Bulbul,-3.208631272,0.673851355
1,Flame-throated Bulbul,-5.254710501,0.673116865
1,Striated Bulbul,-4.49105078,0.692149433
1,Red-vented Bulbul,-0.701397002,0.633719418
1,Red-whiskered Bulbul,-2.225413174,0.647528029
1,White-eared Bulbul,-2.570839289,0.632905703
1,Himalayan Bulbul,-1.946617232,0.671388718
1,Yellow-throated Bulbul,-5.566060364,0.6804487
1,White-browed Bulbul,-3.20338415,0.633863744
1,White-throated Bulbul,-3.381279326,0.66940881
1,Yellow-browed Bulbul,-4.652657174,0.698198794
1,Black Bulbul,-2.63056964,0.647659386
1,Square-tailed Bulbul,-5.759708825,0.665051204
1,Ashy Bulbul,-3.870079295,0.652175657
1,Mountain Bulbul,-4.479022001,0.679888287
1,Ashy-throated Warbler,-4.240326635,0.666055208
1,Buff-barred Warbler,-4.277751175,0.653081237
1,Yellow-browed Warbler,-3.808820755,0.621059021
1,Hume's Warbler,-3.783219461,0.633391637
1,Lemon-rumped Warbler,-3.847376126,0.66638967
1,Tytler's Leaf Warbler,-6.418865444,0.753236849
1,Sulphur-bellied Warbler,-4.154911341,0.662208003
1,Tickell's Leaf Warbler,-4.808293339,0.666464715
1,Dusky Warbler,-3.693794886,0.663498016
1,Common Chiffchaff,-6.020320345,1.485768892
1,Gray-cheeked Warbler,-3.50574575,0.675109815
1,Whistler's Warbler,-4.482354604,0.622865007
1,Greenish Warbler,-3.631610027,0.640437163
1,Large-billed Leaf Warbler,-4.955813347,0.660430892
1,Chestnut-crowned Warbler,-4.385055666,0.64010354
1,Yellow-vented Warbler,-4.796489128,0.682783346
1,Western Crowned Warbler,-5.081207527,0.64122526
1,Blyth's Leaf Warbler,-3.889427357,0.654197285
1,Gray-hooded Warbler,-3.173904096,0.655844326
1,Gray-bellied Tesia,-4.40178236,0.664112247
1,Gray-sided Bush Warbler,-5.034914233,0.662499804
1,Chestnut-headed Tesia,-4.485221366,0.683763801
1,Yellow-bellied Warbler,-4.215230579,0.693530707
1,Black-faced Warbler,-4.87329962,0.692850086
1,Mountain Tailorbird,-3.824342854,0.671702244
1,Brownish-flanked Bush Warbler,-3.996876964,0.624747475
1,Aberrant Bush Warbler,-4.981873871,0.694250745
1,Black-throated Tit,-3.434068428,0.692912404
1,Lesser Whitethroat,-3.637175766,0.644601332
1,Yellow-eyed Babbler,-3.62789962,0.647469156
1,Striated Yuhina,-4.039778765,0.684077726
1,Black-chinned Yuhina,-4.503262905,0.68885479
1,Whiskered Yuhina,-3.634231253,0.649226792
1,Stripe-throated Yuhina,-4.594037524,0.653256054
1,Indian White-eye,-2.711888636,0.623610325
1,Chestnut-capped Babbler,-4.32805695,0.669804185
1,Tawny-bellied Babbler,-4.383149457,0.651827297
1,Dark-fronted Babbler,-5.451860289,0.685989385
1,Pin-striped Tit-Babbler,-3.519798439,0.660766969
1,Golden Babbler,-3.53311971,0.67015551
1,Black-chinned Babbler,-3.832094316,0.68394276
1,Streak-breasted Scimitar-Babbler,-4.027681106,0.699713867
1,White-browed Scimitar-Babbler,-5.115573879,0.664343954
1,Indian Scimitar-Babbler,-4.395635478,0.644086622
1,Rusty-cheeked Scimitar-Babbler,-4.150638261,0.648364051
1,Rufous-winged Fulvetta,-4.219299718,0.660463016
1,Puff-throated Babbler,-4.134879411,0.668413643
1,Abbott's Babbler,-4.346858766,0.640347367
1,Brown-cheeked Fulvetta,-4.454926627,0.663429613
1,Nepal Fulvetta,-3.648639804,0.660546525
1,Striated Laughingthrush,-4.125212099,0.687366715
1,Streaked Laughingthrush,-2.087799076,0.666409407
1,Variegated Laughingthrush,-3.17797151,0.71212786
1,Chestnut-crowned Laughingthrush,-3.922228633,0.685541278
1,Rufous Sibia,-3.275920351,0.650890827
1,Blue-winged Minla,-4.040043059,0.684421805
1,Chestnut-tailed Minla,-4.421685797,0.649142222
1,Rusty-fronted Barwing,-3.955395963,0.670059968
1,Red-billed Leiothrix,-4.704113935,0.650177508
1,Silver-eared Mesia,-3.50206853,0.666948204
1,Red-tailed Minla,-4.170044208,0.663368629
1,Red-faced Liocichla,-4.004240471,0.66252211
1,Large Gray Babbler,-2.753902145,0.600705486
1,Rufous Babbler,-5.308180477,0.653599135
1,Jungle Babbler,-1.934633772,0.645954293
1,Yellow-billed Babbler,-2.319325931,0.685717642
1,Common Babbler,-3.17337546,0.64293435
1,Striated Babbler,-4.219761252,0.653543112
1,Lesser Necklaced Laughingthrush,-4.668872014,0.641856442
1,White-crested Laughingthrush,-4.161285974,0.638841226
1,Rufous-chinned Laughingthrush,-6.085223729,0.686693055
1,Rufous-necked Laughingthrush,-4.145997722,0.636669479
1,Greater Necklaced Laughingthrush,-3.738777451,0.634497878
1,White-throated Laughingthrush,-4.042190371,0.674358576
1,Wallcreeper,-4.399883784,0.644696382
1,Indian Nuthatch,-4.184613571,0.645534651
1,Chestnut-bellied Nuthatch,-4.02629907,0.662500167
1,White-tailed Nuthatch,-4.388947548,0.633863322
1,Velvet-fronted Nuthatch,-4.548234575,0.628822245
1,Bar-tailed Treecreeper,-2.869716779,0.692353342
1,Eurasian Wren,-4.078468493,0.677111494
1,Brown Dipper,-3.460906432,0.698922412
1,Common Hill Myna,-2.955234771,0.641434641
1,Southern Hill Myna,-5.034943175,0.706032902
1,European Starling,-4.410561691,0.66097594
1,Rosy Starling,-3.419643278,0.648740986
1,Indian Pied Starling,-2.036088483,0.650400355
1,Brahminy Starling,-2.370787412,0.603913326
1,Chestnut-tailed Starling,-3.486166643,0.637236421
1,Malabar Starling,-4.957559123,0.653670653
1,Common Myna,-0.819193409,0.640018153
1,Bank Myna,-3.064199776,0.659651485
1,Jungle Myna,-2.908939083,0.635848159
1,Great Myna,-3.439020901,0.651244922
1,Spot-winged Starling,-5.740536278,0.668421073
1,Alpine Thrush,-5.211267338,0.703136144
1,Scaly Thrush,-5.150911532,0.668372451
1,Orange-headed Thrush,-4.026356767,0.643819143
1,Mistle Thrush,-4.15467847,0.72233134
1,Gray-winged Blackbird,-4.320755776,0.638854427
1,Indian Blackbird,-4.781613194,0.612662847
1,Tickell's Thrush,-4.600391497,0.609125293
1,White-collared Blackbird,-4.49809824,0.732672984
1,Chestnut Thrush,-4.864617219,0.701046215
